district,zone,date,temperature,humidity,solar_radiation,uv,tmax,tmin,dew_point,heat_index,wet_bulb,wbgt_shade,wbgt_sun,heatstroke_hazard,cdd,heat_index_lo95,heat_index_hi95,heat_index_lo68,heat_index_hi68,wet_bulb_lo95,wet_bulb_hi95,wet_bulb_lo68,wet_bulb_hi68,wbgt_shade_lo95,wbgt_shade_hi95,wbgt_shade_lo68,wbgt_shade_hi68,wbgt_sun_lo95,wbgt_sun_hi95,wbgt_sun_lo68,wbgt_sun_hi68
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),2025-01-01,17.37081577066069,80.27875209522736,172.13023986618236,6.795373382602527,23.79591262909382,13.006572511533456,14.047295136214093,17.25962031910214,15.037816400063615,15.737716211242738,16.598367410573648,6.390441210487816e-08,0.40124257031363797,16.209216990090205,18.310023648114075,16.723700253279723,17.795540384924557,14.241142340326734,15.834490459800497,14.631350043055003,15.444282757072228,15.108634671591247,16.36679775089423,15.416756242032793,16.058676180452682,15.969285870922157,17.22744895022514,16.277407441363703,16.919327379783592
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),2025-02-01,21.20784412416563,72.5144205954547,206.17816735548558,7.6159548527480005,28.116239963676122,15.999437425526608,15.886269074827034,21.277616185463508,17.72992124010911,18.773298105326063,19.804188942103494,8.032950691116287e-07,4.057838694601365,20.227212856451573,22.328019514475443,20.74169611964109,21.813536251285925,16.93324718037223,18.52659529984599,17.323454883100496,18.136387597117725,18.144216565674572,19.402379644977554,18.45233813611612,19.094258074536008,19.175107402452003,20.433270481754985,19.48322897289355,20.12514891131344
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),2025-03-01,26.035039643820042,70.3230596920012,238.9609030796753,8.51512478111908,32.752487547657026,20.710328845812437,19.5046444469502,26.53031238904874,21.948660367369996,23.17457415030501,24.369378665703387,2.197838680814993e-05,8.731408196734733,25.479909060036803,27.580715718060674,25.99439232322632,27.066232454871155,21.151986307633116,22.745334427106876,21.54219401036138,22.35512672437861,22.54549261065352,23.8036556899565,22.853614181095065,23.495534119514954,23.740297126051896,24.998460205354878,24.048418696493442,24.69033863491333
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),2025-04-01,30.31345343603733,72.26940668180602,264.5224450014664,9.099669188900553,36.90674894432421,25.041921505552285,22.97010799410681,36.41580617929562,26.242809635631698,27.464002775753386,28.78661500076072,0.05274785996056832,12.974335224938244,35.36540285028369,37.46620950830756,35.879886113473205,36.95172624511804,25.446135575894818,27.039483695368578,25.836343278623083,26.649275992640312,26.834921236101895,28.093084315404877,27.14304280654344,27.78496274496333,28.157533461109228,29.41569654041221,28.465655031550774,29.107574969970663
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),2025-05-01,30.05846968378581,79.02414666975729,235.38230440150664,8.100399434568736,35.21422911095221,25.761228424415552,24.700583623605013,37.56781816839824,27.038211158016967,27.944288715747618,29.12120023775515,0.10318977044257863,12.487728767683883,36.517414839386305,38.618221497410175,37.03189810257582,38.10373823422066,26.241537098280087,27.834885217753847,26.631744801008352,27.44467751502558,27.315207176096127,28.57337025539911,27.623328746537673,28.265248684957562,28.49211869810366,29.75028177740664,28.800240268545206,29.442160206965095
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),2025-06-01,30.44207718619592,83.3043547203889,197.22010893323704,6.966417794165995,34.51548052187057,27.481073580477137,26.696471635939094,40.11571385228444,28.05423394156497,28.77058691495425,29.75668745962044,0.3642186656889401,12.998277051173854,39.06531052327251,41.16611718129638,39.57979378646203,40.65163391810686,27.25755988182809,28.85090800130185,27.647767584556355,28.460700298573585,28.14150537530276,29.39966845460574,28.449626945744306,29.091546884164195,29.12760591996895,30.38576899927193,29.435727490410496,30.077647428830385
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),2025-07-01,29.973788868290313,84.82610701945657,183.91218323755334,6.608833159034852,33.23074539160636,27.572313741809744,26.87832574165872,38.9979305767445,27.827680505902034,28.471513014618516,29.391073930806286,0.22074954286081946,12.401529566708053,37.947527247732566,40.04833390575644,38.462010510922084,39.53385064256692,27.031006446165154,28.624354565638914,27.42121414889342,28.23414686291065,27.842431474967025,29.100594554270007,28.15055304540857,28.79247298382846,28.761992391154795,30.020155470457777,29.07011396159634,29.71203390001623
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),2025-08-01,29.563873762881755,85.07994933642772,160.7842720922456,6.109481754069119,32.69658095669895,27.306611316308484,26.628031461610643,37.69992566059899,27.466583280475188,28.09577042519716,28.89969178565839,0.11115010058746151,12.001596136503718,36.64952233158706,38.75032898961093,37.164005594776576,38.23584572642141,26.669909220738308,28.263257340212068,27.060116923466573,27.873049637483803,27.46668888554567,28.72485196484865,27.774810455987215,28.416730394407104,28.2706102460069,29.52877332530988,28.578731816448446,29.220651754868335
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),2025-09-01,29.64373266095087,84.77129487109866,173.4461849494869,6.572573757191051,33.132331306376926,27.185874671064862,26.62990811457938,37.876452308940074,27.49859305290295,28.142134935317323,29.00936586006476,0.12262161443577166,12.159102988720896,36.82604897992814,38.92685563795201,37.34053224311766,38.41237237476249,26.70191899316607,28.29526711263983,27.092126695894336,27.905059409911566,27.513053395665832,28.771216474968814,27.821174966107378,28.463094904527267,28.38028432041327,29.638447399716252,28.688405890854817,29.330325829274706
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),2025-10-01,28.034585386622645,82.28040477695215,172.36735289595367,6.488042223755777,32.440458996130005,24.98470683429473,24.64495424543432,32.54762443173013,25.574086694987535,26.312236302478063,27.174073066957835,0.003875825081156533,10.712582915212366,31.497221102718193,33.59802776074206,32.01170436590771,33.083544497552545,24.777412635250656,26.370760754724415,25.16762033797892,25.98055305199615,25.68315476282657,26.941317842129553,25.991276333268118,26.633196271688007,26.544991527306344,27.803154606609326,26.85311309774789,27.49503303616778
