zone,Comfortable,Caution,Extreme Caution,Danger,Extreme Danger
1. Northwest Extreme Heat Zone (Dry Hot Plains),41.14583333333333,11.458333333333332,47.39583333333333,0.0,0.0
2. Central Urban Heat Zone (Urban Heat-Island Region),36.27450980392157,13.23529411764706,50.49019607843137,0.0,0.0
3. Southwest Hot-Dry Zone (Drought or Saline),38.75,2.9166666666666665,57.49999999999999,0.8333333333333334,0.0
4. Coastal Humid Heat Zone (Coastal Belt),33.92857142857143,8.333333333333332,57.738095238095234,0.0,0.0
5. Haor or Wetland Humid Zone (Haor Basin),43.75,20.833333333333336,35.41666666666667,0.0,0.0
6. Hill Tract Zone (Elevated Terrain),36.11111111111111,5.555555555555555,58.333333333333336,0.0,0.0
