district,variable,kind,n_months,val_R2,val_RMSE,val_MAE,val_acc_0.5,val_acc_1.0,val_acc_2.0,val_acc_3.0,val_acc_5.0,val_acc_10.0,val_acc_20.0,val_acc_30.0,val_acc_50.0,val_acc_1.5,zone
Bagerhat,heat_index,index,11,0.9544797802701077,1.33862312555811,1.089001667856843,0.36363636363636365,0.45454545454545453,0.8181818181818182,1.0,,,,,,,3. Southwest Hot-Dry Zone (Drought or Saline)
Bagerhat,wet_bulb,index,11,0.9661620913389015,0.6541579574671439,0.47087953168537217,0.6363636363636364,0.9090909090909091,1.0,1.0,,,,,,,3. Southwest Hot-Dry Zone (Drought or Saline)
Bagerhat,wbgt_shade,index,11,0.965042874185455,0.6488924516862465,0.49345694474217117,0.5454545454545454,0.9090909090909091,1.0,1.0,,,,,,,3. Southwest Hot-Dry Zone (Drought or Saline)
Bagerhat,wbgt_sun,index,11,0.9620719835526059,0.6700580065154802,0.5198795139694448,0.45454545454545453,0.9090909090909091,1.0,1.0,,,,,,,3. Southwest Hot-Dry Zone (Drought or Saline)
Bagerhat,cdd,index,11,0.9485758456271393,0.7227360877666513,0.6100606066515833,0.5454545454545454,0.8181818181818182,1.0,1.0,,,,,,,3. Southwest Hot-Dry Zone (Drought or Saline)
Bandarban,heat_index,index,11,0.8112808564438103,1.8963532689588094,1.6303010870186527,0.09090909090909091,0.36363636363636365,0.7272727272727273,0.9090909090909091,,,,,,,6. Hill Tract Zone (Elevated Terrain)
Bandarban,wet_bulb,index,11,0.9404066192868192,0.7278942362526392,0.6593777414601099,0.2727272727272727,0.8181818181818182,1.0,1.0,,,,,,,6. Hill Tract Zone (Elevated Terrain)
Bandarban,wbgt_shade,index,11,0.927071020470958,0.7529693489425034,0.6760074632294742,0.36363636363636365,0.8181818181818182,1.0,1.0,,,,,,,6. Hill Tract Zone (Elevated Terrain)
Bandarban,wbgt_sun,index,11,0.9105456094668412,0.8144417235903112,0.7216311501328747,0.36363636363636365,0.7272727272727273,1.0,1.0,,,,,,,6. Hill Tract Zone (Elevated Terrain)
Bandarban,cdd,index,11,0.9444012072448862,0.5968603865047513,0.49258697420990283,0.5454545454545454,0.9090909090909091,1.0,1.0,,,,,,,6. Hill Tract Zone (Elevated Terrain)
Barguna,heat_index,index,11,0.9332278388438159,1.5478171915992371,1.2340982990932767,0.2727272727272727,0.45454545454545453,0.8181818181818182,0.9090909090909091,,,,,,,4. Coastal Humid Heat Zone (Coastal Belt)
Barguna,wet_bulb,index,11,0.962901677285954,0.6478886883647936,0.5030639748362424,0.5454545454545454,0.8181818181818182,1.0,1.0,,,,,,,4. Coastal Humid Heat Zone (Coastal Belt)
Barguna,wbgt_shade,index,11,0.9611700575911919,0.6466651454469251,0.5125335388350307,0.5454545454545454,0.8181818181818182,1.0,1.0,,,,,,,4. Coastal Humid Heat Zone (Coastal Belt)
Barguna,wbgt_sun,index,11,0.9535492287770617,0.6983333458723298,0.558849031413229,0.45454545454545453,0.8181818181818182,1.0,1.0,,,,,,,4. Coastal Humid Heat Zone (Coastal Belt)
Barguna,cdd,index,11,0.9432219964102988,0.6940505513415597,0.5716631843404472,0.45454545454545453,0.8181818181818182,1.0,1.0,,,,,,,4. Coastal Humid Heat Zone (Coastal Belt)
